name,url,abbreviation,source
Coleg Cambria,https://www.cambria.ac.uk,,uk:edu
Apex College,https://www.apexcollege.ac.uk,,uk:edu
Escape Studios,https://www.escapestudios.ac.uk,,uk:edu
International Business College Manchester Ltd,https://www.internationalbusinesscollege.co.uk,,uk:edu
Northeastern University London,https://www.nulondon.ac.uk,,uk:edu
The School of Information Risk Management,https://www.sirm.ac.uk,,uk:edu
Raindance,https://www.raindance.org,,uk:edu
London Brookes College,https://www.londonbrookescollege.co.uk,,uk:edu
JCA | London Fashion Academy,https://www.jca.ac.uk,,uk:edu
London Interdisciplinary School,https://www.t-lis.org,,uk:edu
Harper and Keele Veterinary School,https://www.harperkeelevetschool.ac.uk/,,uk:edu
Medway School of Pharmacy,https://msp.ac.uk/,,uk:edu
Hull York Medical School,https://www.hyms.ac.uk,,uk:edu
Brighton and Sussex Medical School,https://www.bsms.ac.uk/index.aspx,,uk:edu
